Datum,Tote,deathaverage
2020-03-15,4,2
2020-03-16,0,1
2020-03-17,0,1
2020-03-18,0,1
2020-03-19,8,2
2020-03-20,11,4
2020-03-21,16,6
2020-03-22,8,6
2020-03-23,31,11
2020-03-24,28,15
2020-03-25,35,20
2020-03-26,49,25
2020-03-27,55,32
2020-03-28,72,40
2020-03-29,64,48
2020-03-30,66,53
2020-03-31,128,67
2020-04-01,149,83
2020-04-02,140,96
2020-04-03,145,109
2020-04-04,141,119
2020-04-05,184,136
2020-04-06,92,140
2020-04-07,173,146
2020-04-08,254,161
2020-04-09,246,176
2020-04-10,266,194
2020-04-11,171,198
2020-04-12,129,190
2020-04-13,126,195
2020-04-14,170,195
2020-04-15,285,199
2020-04-16,315,209
2020-04-17,299,214
2020-04-18,242,224
2020-04-19,184,232
2020-04-20,110,229
2020-04-21,194,233
2020-04-22,281,232
2020-04-23,215,218
2020-04-24,227,208
2020-04-25,179,199
2020-04-26,140,192
2020-04-27,110,192
2020-04-28,163,188
2020-04-29,202,177
2020-04-30,173,171
2020-05-01,193,166
2020-05-02,94,154
2020-05-03,74,144
2020-05-04,43,135
2020-05-05,139,131
2020-05-06,165,126
2020-05-07,123,119
2020-05-08,147,112
2020-05-09,103,113
2020-05-10,26,107
2020-05-11,22,104
2020-05-12,116,100
2020-05-13,101,91
2020-05-14,89,86
2020-05-15,101,80
2020-05-16,57,73
2020-05-17,33,74
2020-05-18,21,74
2020-05-19,72,68
2020-05-20,83,65
2020-05-21,57,61
2020-05-22,27,50
2020-05-23,42,48
2020-05-24,31,48
2020-05-25,10,46
2020-05-26,45,42
2020-05-27,47,37
2020-05-28,62,38
2020-05-29,39,39
2020-05-30,39,39
2020-05-31,11,36
2020-06-01,11,36
2020-06-02,11,31
2020-06-03,29,29
2020-06-04,30,24
2020-06-05,32,23
2020-06-06,33,22
2020-06-07,22,24
2020-06-08,6,23
2020-06-09,37,27
2020-06-10,18,25
2020-06-11,26,25
2020-06-12,8,21
2020-06-13,18,19
2020-06-14,6,17
2020-06-15,4,17
2020-06-16,9,13
2020-06-17,30,14
2020-06-18,26,14
2020-06-19,16,16
2020-06-20,11,15
2020-06-21,0,14
2020-06-22,3,14
2020-06-23,10,14
2020-06-24,19,12
2020-06-25,13,10
2020-06-26,21,11
2020-06-27,6,10
2020-06-28,3,11
2020-06-29,4,11
2020-06-30,12,11
2020-07-01,12,10
2020-07-02,9,10
2020-07-03,9,8
2020-07-04,7,8
2020-07-05,2,8
2020-07-06,4,8
2020-07-07,8,7
2020-07-08,12,7
2020-07-09,12,8
2020-07-10,6,7
2020-07-11,6,7
2020-07-12,3,7
2020-07-13,1,7
2020-07-14,4,6
2020-07-15,3,5
2020-07-16,7,4
2020-07-17,4,4
2020-07-18,1,3
2020-07-19,1,3
2020-07-20,2,3
2020-07-21,4,3
2020-07-22,5,3
2020-07-23,6,3
2020-07-24,10,4
2020-07-25,7,5
2020-07-26,0,5
2020-07-27,0,5
2020-07-28,4,5
2020-07-29,6,5
2020-07-30,6,5
2020-07-31,7,4
2020-08-01,7,4
2020-08-02,0,4
2020-08-03,7,5
2020-08-04,8,6
2020-08-05,12,7
2020-08-06,7,7
2020-08-07,8,7
2020-08-08,12,8
2020-08-09,1,8
2020-08-10,1,7
2020-08-11,4,6
2020-08-12,6,6
2020-08-13,4,5
2020-08-14,14,6
2020-08-15,6,5
2020-08-16,0,5
2020-08-17,1,5
2020-08-18,4,5
2020-08-19,7,5
2020-08-20,10,6
2020-08-21,7,5
2020-08-22,7,5
2020-08-23,2,5
2020-08-24,3,6
2020-08-25,5,6
2020-08-26,3,5
2020-08-27,5,5
2020-08-28,3,4
2020-08-29,1,3
2020-08-30,6,4
2020-08-31,3,4
2020-09-01,4,4
2020-09-02,11,5
2020-09-03,8,5
2020-09-04,1,5
2020-09-05,2,5
2020-09-06,1,4
2020-09-07,0,4
2020-09-08,4,4
2020-09-09,9,4
2020-09-10,3,3
2020-09-11,1,3
2020-09-12,5,3
2020-09-13,2,3
2020-09-14,1,4
2020-09-15,12,5
2020-09-16,6,4
2020-09-17,3,4
2020-09-18,7,5
2020-09-19,6,5
2020-09-20,2,5
2020-09-21,0,5
2020-09-22,10,5
2020-09-23,13,6
2020-09-24,19,8
2020-09-25,15,9
2020-09-26,9,10
2020-09-27,5,10
2020-09-28,3,11
2020-09-29,11,11
2020-09-30,17,11
2020-10-01,12,10
2020-10-02,8,9
2020-10-03,19,11
2020-10-04,2,10
2020-10-05,5,11
2020-10-06,12,11
2020-10-07,16,11
2020-10-08,16,11
2020-10-09,11,12
2020-10-10,15,11
2020-10-11,11,12
2020-10-12,6,12
2020-10-13,13,13
2020-10-14,43,16
2020-10-15,33,19
2020-10-16,24,21
2020-10-17,33,23
2020-10-18,10,23
2020-10-19,12,24
2020-10-20,47,29
2020-10-21,39,28
2020-10-22,30,28
2020-10-23,49,31
2020-10-24,49,34
2020-10-25,29,36
2020-10-26,24,38
2020-10-27,42,37
2020-10-28,85,44
2020-10-29,89,52
2020-10-30,77,56
2020-10-31,103,64
